TASK_ID;TASK_NAME;TASK_DEPS;TASK_CMD;TASK_CMD_OPTS;TASK_EVENT_TYPE;TASK_DATE_TIME_[STARTED|TERMINATED];
"1";"@01-INIT";"";"";"";"2020-08-31 21:12:42.319928557";"STARTED";
"1";"@01-INIT";"";"";"";"2020-08-31 21:12:42.336716295";"TERMINATED";
"10";"task-E";"task-B1 task-B4 task-B5 task-D";"/home/user/makbet/examples/01.dummy/tasks/generic-task.sh";"1";"2020-08-31 21:12:51.578156890";"STARTED";
"10";"task-E";"task-B1 task-B4 task-B5 task-D";"/home/user/makbet/examples/01.dummy/tasks/generic-task.sh";"1";"2020-08-31 21:12:52.605022184";"TERMINATED";
"11";"task-F";"task-E";"";"";"2020-08-31 21:12:52.719545849";"STARTED";
"11";"task-F";"task-E";"";"";"2020-08-31 21:12:52.742226929";"TERMINATED";
"13";"all";"task-F";"";"";"2020-08-31 21:12:52.851445742";"STARTED";
"13";"all";"task-F";"";"";"2020-08-31 21:12:52.870757067";"TERMINATED";
"2";"task-A";"@01-INIT";"/home/user/makbet/examples/01.dummy/tasks/generic-task.sh";"1";"2020-08-31 21:12:42.424386893";"STARTED";
"2";"task-A";"@01-INIT";"/home/user/makbet/examples/01.dummy/tasks/generic-task.sh";"1";"2020-08-31 21:12:43.473549916";"TERMINATED";
"3";"task-B1";"task-A";"/home/user/makbet/examples/01.dummy/tasks/generic-task.sh";"1";"2020-08-31 21:12:43.588116880";"STARTED";
"3";"task-B1";"task-A";"/home/user/makbet/examples/01.dummy/tasks/generic-task.sh";"1";"2020-08-31 21:12:44.613992334";"TERMINATED";
"4";"task-B2";"task-A";"/home/user/makbet/examples/01.dummy/tasks/generic-task.sh";"1";"2020-08-31 21:12:47.039666516";"STARTED";
"4";"task-B2";"task-A";"/home/user/makbet/examples/01.dummy/tasks/generic-task.sh";"1";"2020-08-31 21:12:48.072602440";"TERMINATED";
"5";"task-B3";"task-A";"/home/user/makbet/examples/01.dummy/tasks/generic-task.sh";"1";"2020-08-31 21:12:48.164702121";"STARTED";
"5";"task-B3";"task-A";"/home/user/makbet/examples/01.dummy/tasks/generic-task.sh";"1";"2020-08-31 21:12:49.213087496";"TERMINATED";
"6";"task-B4";"task-A";"/home/user/makbet/examples/01.dummy/tasks/generic-task.sh";"1";"2020-08-31 21:12:44.718276628";"STARTED";
"6";"task-B4";"task-A";"/home/user/makbet/examples/01.dummy/tasks/generic-task.sh";"1";"2020-08-31 21:12:45.747039419";"TERMINATED";
"7";"task-B5";"task-A";"/home/user/makbet/examples/01.dummy/tasks/generic-task.sh";"1";"2020-08-31 21:12:45.863860100";"STARTED";
"7";"task-B5";"task-A";"/home/user/makbet/examples/01.dummy/tasks/generic-task.sh";"1";"2020-08-31 21:12:46.893625390";"TERMINATED";
"8";"task-C";"task-B2 task-B3";"/home/user/makbet/examples/01.dummy/tasks/generic-task.sh";"1";"2020-08-31 21:12:49.328563711";"STARTED";
"8";"task-C";"task-B2 task-B3";"/home/user/makbet/examples/01.dummy/tasks/generic-task.sh";"1";"2020-08-31 21:12:50.354678433";"TERMINATED";
"9";"task-D";"task-C";"/home/user/makbet/examples/01.dummy/tasks/generic-task.sh";"1";"2020-08-31 21:12:50.455119666";"STARTED";
"9";"task-D";"task-C";"/home/user/makbet/examples/01.dummy/tasks/generic-task.sh";"1";"2020-08-31 21:12:51.483000714";"TERMINATED";
