TASK_ID;TASK_NAME;TASK_DEPS;TASK_CMD;TASK_CMD_OPTS;TASK_EVENT_TYPE;TASK_DATE_TIME_[STARTED|TERMINATED];
"10";"unpack-git-src";"fetch-git-src";"/home/user/makbet/examples/lib/tasks/common/uncompress-zip-file.sh";"/tmp/makbet/examples/02.toolchain-basic/git/v2.28.0.zip /tmp/makbet/examples/02.toolchain-basic/git/";"2020-08-10 01:00:25.030115909";"STARTED";
"10";"unpack-git-src";"fetch-git-src";"/home/user/makbet/examples/lib/tasks/common/uncompress-zip-file.sh";"/tmp/makbet/examples/02.toolchain-basic/git/v2.28.0.zip /tmp/makbet/examples/02.toolchain-basic/git/";"2020-08-10 01:00:25.382887461";"TERMINATED";
"11";"unpack-kcov-src";"fetch-kcov-src";"/home/user/makbet/examples/lib/tasks/common/uncompress-zip-file.sh";"/tmp/makbet/examples/02.toolchain-basic/kcov/38.zip /tmp/makbet/examples/02.toolchain-basic/kcov/";"2020-08-10 01:00:26.964348914";"STARTED";
"11";"unpack-kcov-src";"fetch-kcov-src";"/home/user/makbet/examples/lib/tasks/common/uncompress-zip-file.sh";"/tmp/makbet/examples/02.toolchain-basic/kcov/38.zip /tmp/makbet/examples/02.toolchain-basic/kcov/";"2020-08-10 01:00:27.012625414";"TERMINATED";
"12";"unpack-make-src";"fetch-make-src";"/home/user/makbet/examples/lib/tasks/common/uncompress-tgz-file.sh";"/tmp/makbet/examples/02.toolchain-basic/make/make-4.3.tar.gz /tmp/makbet/examples/02.toolchain-basic/make/";"2020-08-10 01:00:29.464048337";"STARTED";
"12";"unpack-make-src";"fetch-make-src";"/home/user/makbet/examples/lib/tasks/common/uncompress-tgz-file.sh";"/tmp/makbet/examples/02.toolchain-basic/make/make-4.3.tar.gz /tmp/makbet/examples/02.toolchain-basic/make/";"2020-08-10 01:00:29.550660549";"TERMINATED";
"13";"unpack-python-src";"fetch-python-src";"/home/user/makbet/examples/lib/tasks/common/uncompress-txz-file.sh";"/tmp/makbet/examples/02.toolchain-basic/python/Python-3.9.0b5.tar.xz /tmp/makbet/examples/02.toolchain-basic/python/";"2020-08-10 01:00:42.530399234";"STARTED";
"13";"unpack-python-src";"fetch-python-src";"/home/user/makbet/examples/lib/tasks/common/uncompress-txz-file.sh";"/tmp/makbet/examples/02.toolchain-basic/python/Python-3.9.0b5.tar.xz /tmp/makbet/examples/02.toolchain-basic/python/";"2020-08-10 01:00:44.008388654";"TERMINATED";
"14";"check-all-src-dirs";"unpack-doxygen-src unpack-git-src unpack-kcov-src unpack-make-src unpack-python-src";"/home/user/makbet/examples/lib/tasks/common/check-dirs.sh";"/tmp/makbet/examples/02.toolchain-basic/doxygen/doxygen-Release_1_8_19/ /tmp/makbet/examples/02.toolchain-basic/git/git-2.28.0/ /tmp/makbet/examples/02.toolchain-basic/kcov/kcov-38/ /tmp/makbet/examples/02.toolchain-basic/make/make-4.3/ /tmp/makbet/examples/02.toolchain-basic/python/Python-3.9.0b5/";"2020-08-10 01:00:44.098229432";"STARTED";
"14";"check-all-src-dirs";"unpack-doxygen-src unpack-git-src unpack-kcov-src unpack-make-src unpack-python-src";"/home/user/makbet/examples/lib/tasks/common/check-dirs.sh";"/tmp/makbet/examples/02.toolchain-basic/doxygen/doxygen-Release_1_8_19/ /tmp/makbet/examples/02.toolchain-basic/git/git-2.28.0/ /tmp/makbet/examples/02.toolchain-basic/kcov/kcov-38/ /tmp/makbet/examples/02.toolchain-basic/make/make-4.3/ /tmp/makbet/examples/02.toolchain-basic/python/Python-3.9.0b5/";"2020-08-10 01:00:44.118622252";"TERMINATED";
