TASK_ID;TASK_NAME;TASK_DEPS;TASK_CMD;TASK_CMD_OPTS;TASK_EVENT_TYPE;TASK_DATE_TIME_[STARTED|TERMINATED];
"1";"@01-INIT";"";"";"";"2020-08-31 21:48:37.928128701";"STARTED";
"1";"@01-INIT";"";"";"";"2020-08-31 21:48:37.945680243";"TERMINATED";
"10";"unpack-git-src";"fetch-git-src";"/home/user/makbet/examples/lib/tasks/common/uncompress-zip-file.sh";"/tmp/makbet/examples/02.toolchain-complex/git/v2.28.0.zip /tmp/makbet/examples/02.toolchain-complex/git/";"2020-08-31 21:48:49.915217332";"STARTED";
"10";"unpack-git-src";"fetch-git-src";"/home/user/makbet/examples/lib/tasks/common/uncompress-zip-file.sh";"/tmp/makbet/examples/02.toolchain-complex/git/v2.28.0.zip /tmp/makbet/examples/02.toolchain-complex/git/";"2020-08-31 21:48:50.296483297";"TERMINATED";
"11";"unpack-kcov-src";"fetch-kcov-src";"/home/user/makbet/examples/lib/tasks/common/uncompress-zip-file.sh";"/tmp/makbet/examples/02.toolchain-complex/kcov/38.zip /tmp/makbet/examples/02.toolchain-complex/kcov/";"2020-08-31 21:48:51.539643083";"STARTED";
"11";"unpack-kcov-src";"fetch-kcov-src";"/home/user/makbet/examples/lib/tasks/common/uncompress-zip-file.sh";"/tmp/makbet/examples/02.toolchain-complex/kcov/38.zip /tmp/makbet/examples/02.toolchain-complex/kcov/";"2020-08-31 21:48:51.581130152";"TERMINATED";
"12";"unpack-make-src";"fetch-make-src";"/home/user/makbet/examples/lib/tasks/common/uncompress-tgz-file.sh";"/tmp/makbet/examples/02.toolchain-complex/make/make-4.3.tar.gz /tmp/makbet/examples/02.toolchain-complex/make/";"2020-08-31 21:48:54.559177364";"STARTED";
"12";"unpack-make-src";"fetch-make-src";"/home/user/makbet/examples/lib/tasks/common/uncompress-tgz-file.sh";"/tmp/makbet/examples/02.toolchain-complex/make/make-4.3.tar.gz /tmp/makbet/examples/02.toolchain-complex/make/";"2020-08-31 21:48:54.643121137";"TERMINATED";
"13";"unpack-python-src";"fetch-python-src";"/home/user/makbet/examples/lib/tasks/common/uncompress-txz-file.sh";"/tmp/makbet/examples/02.toolchain-complex/python/Python-3.9.0b5.tar.xz /tmp/makbet/examples/02.toolchain-complex/python/";"2020-08-31 21:49:05.699898746";"STARTED";
"13";"unpack-python-src";"fetch-python-src";"/home/user/makbet/examples/lib/tasks/common/uncompress-txz-file.sh";"/tmp/makbet/examples/02.toolchain-complex/python/Python-3.9.0b5.tar.xz /tmp/makbet/examples/02.toolchain-complex/python/";"2020-08-31 21:49:07.203396477";"TERMINATED";
