TASK_ID;TASK_NAME;TASK_DEPS;TASK_CMD;TASK_CMD_OPTS;TASK_EVENT_TYPE;TASK_DATE_TIME_[STARTED|TERMINATED];
"1";"INIT";"";"";"";"2020-08-10 01:08:20.967556714";"STARTED";
"1";"INIT";"";"";"";"2020-08-10 01:08:20.984609483";"TERMINATED";
"2";"ping1111";"INIT";"ping";"-c10 1.1.1.1";"2020-08-10 01:08:21.071637168";"STARTED";
"2";"ping1111";"INIT";"ping";"-c10 1.1.1.1";"2020-08-10 01:08:30.132835574";"TERMINATED";
"3";"ping8844";"INIT";"ping";"-c4 8.8.4.4";"2020-08-10 01:08:30.240323136";"STARTED";
"3";"ping8844";"INIT";"ping";"-c4 8.8.4.4";"2020-08-10 01:08:33.297048865";"TERMINATED";
"4";"ping8888";"INIT";"ping";"-c4 8.8.8.8";"2020-08-10 01:08:33.390444332";"STARTED";
"4";"ping8888";"INIT";"ping";"-c4 8.8.8.8";"2020-08-10 01:08:36.439688388";"TERMINATED";
"6";"all";"ping1111 ping8844 ping8888";"";"";"2020-08-10 01:08:36.552305326";"STARTED";
"6";"all";"ping1111 ping8844 ping8888";"";"";"2020-08-10 01:08:36.573975795";"TERMINATED";

