TASK_ID;TASK_NAME;TASK_DEPS;TASK_CMD;TASK_CMD_OPTS;TASK_EVENT_TYPE;TASK_DATE_TIME_[STARTED|TERMINATED];
"1";"@01-INIT";"";"";"";"STARTED";"2020-09-01 00:12:38.474320596";
"1";"@01-INIT";"";"";"";"TERMINATED";"2020-09-01 00:12:38.492879420";
"2";"ping1111";"@01-INIT";"ping";"-c10 1.1.1.1";"STARTED";"2020-09-01 00:12:38.591223903";
"2";"ping1111";"@01-INIT";"ping";"-c10 1.1.1.1";"TERMINATED";"2020-09-01 00:12:48.722140891";
"3";"ping8844";"@01-INIT";"ping";"-c4 8.8.4.4";"STARTED";"2020-09-01 00:12:48.840385786";
"3";"ping8844";"@01-INIT";"ping";"-c4 8.8.4.4";"TERMINATED";"2020-09-01 00:12:51.915257575";
"4";"ping8888";"@01-INIT";"ping";"-c4 8.8.8.8";"STARTED";"2020-09-01 00:12:52.041401397";
"4";"ping8888";"@01-INIT";"ping";"-c4 8.8.8.8";"TERMINATED";"2020-09-01 00:12:55.089232698";
"6";"all";"ping1111 ping8844 ping8888";"";"";"STARTED";"2020-09-01 00:12:55.200185451";
"6";"all";"ping1111 ping8844 ping8888";"";"";"TERMINATED";"2020-09-01 00:12:55.221103310";
