TASK_ID;TASK_NAME;TASK_DEPS;TASK_CMD;TASK_CMD_OPTS;TASK_EVENT_TYPE;TASK_DATE_TIME_[STARTED|TERMINATED];
"1";"@01-INIT";"";"";"";"2020-08-30 18:38:17.789838563";"STARTED";
"1";"@01-INIT";"";"";"";"2020-08-30 18:38:17.811592187";"TERMINATED";
"2";"sleep-1s";"@01-INIT";"/home/user/makbet/examples/lib/tasks/common/sleep.sh";"1s";"2020-08-30 18:38:17.923990680";"STARTED";
"2";"sleep-1s";"@01-INIT";"/home/user/makbet/examples/lib/tasks/common/sleep.sh";"1s";"2020-08-30 18:38:18.979514432";"TERMINATED";
"3";"sleep-2s";"@01-INIT";"/home/user/makbet/examples/lib/tasks/common/sleep.sh";"2s";"2020-08-30 18:38:19.130336219";"STARTED";
"3";"sleep-2s";"@01-INIT";"/home/user/makbet/examples/lib/tasks/common/sleep.sh";"2s";"2020-08-30 18:38:21.183121891";"TERMINATED";
"4";"sleep-3s";"@01-INIT";"sleep";"3s";"2020-08-30 18:38:21.329091850";"STARTED";
"4";"sleep-3s";"@01-INIT";"sleep";"3s";"2020-08-30 18:38:24.352482323";"TERMINATED";
"5";"sleep-5s";"@01-INIT";"sleep";"5s";"2020-08-30 18:38:24.494450223";"STARTED";
"5";"sleep-5s";"@01-INIT";"sleep";"5s";"2020-08-30 18:38:29.555853546";"TERMINATED";
"6";"sleep-8s";"@01-INIT";"sleep";"8s";"2020-08-30 18:38:29.709068230";"STARTED";
"6";"sleep-8s";"@01-INIT";"sleep";"8s";"2020-08-30 18:38:37.734084548";"TERMINATED";
"7";"all";"sleep-1s sleep-2s sleep-3s sleep-5s sleep-8s";"";"";"2020-08-30 18:38:37.858727238";"STARTED";
"7";"all";"sleep-1s sleep-2s sleep-3s sleep-5s sleep-8s";"";"";"2020-08-30 18:38:37.880513039";"TERMINATED";
