TASK_NAME;TASK_DEPS;TASK_CMD;TASK_CMD_OPTS;TASK_DATE_TIME;TASK_EVENT_TYPE;TASK_[STARTED|TERMINATED]_EPOCH;
"all";"task-F";"";"";"2020-07-07 10:31:14";"STARTED";"1594110674";
"all";"task-F";"";"";"2020-07-07 10:31:14";"TERMINATED";"1594110674";
"INIT";"";"";"";"2020-07-07 10:31:03";"STARTED";"1594110663";
"INIT";"";"";"";"2020-07-07 10:31:03";"TERMINATED";"1594110663";
"task-A";"INIT";"/home/user/makbet/examples/01.dummy/tasks/generic-task.sh";"1";"2020-07-07 10:31:03";"STARTED";"1594110663";
"task-A";"INIT";"/home/user/makbet/examples/01.dummy/tasks/generic-task.sh";"1";"2020-07-07 10:31:04";"TERMINATED";"1594110664";
"task-B1";"task-A";"/home/user/makbet/examples/01.dummy/tasks/generic-task.sh";"1";"2020-07-07 10:31:04";"STARTED";"1594110664";
"task-B1";"task-A";"/home/user/makbet/examples/01.dummy/tasks/generic-task.sh";"1";"2020-07-07 10:31:06";"TERMINATED";"1594110666";
"task-B2";"task-A";"/home/user/makbet/examples/01.dummy/tasks/generic-task.sh";"1";"2020-07-07 10:31:08";"STARTED";"1594110668";
"task-B2";"task-A";"/home/user/makbet/examples/01.dummy/tasks/generic-task.sh";"1";"2020-07-07 10:31:09";"TERMINATED";"1594110669";
"task-B3";"task-A";"/home/user/makbet/examples/01.dummy/tasks/generic-task.sh";"1";"2020-07-07 10:31:09";"STARTED";"1594110669";
"task-B3";"task-A";"/home/user/makbet/examples/01.dummy/tasks/generic-task.sh";"1";"2020-07-07 10:31:10";"TERMINATED";"1594110670";
"task-B4";"task-A";"/home/user/makbet/examples/01.dummy/tasks/generic-task.sh";"1";"2020-07-07 10:31:06";"STARTED";"1594110666";
"task-B4";"task-A";"/home/user/makbet/examples/01.dummy/tasks/generic-task.sh";"1";"2020-07-07 10:31:07";"TERMINATED";"1594110667";
"task-B5";"task-A";"/home/user/makbet/examples/01.dummy/tasks/generic-task.sh";"1";"2020-07-07 10:31:07";"STARTED";"1594110667";
"task-B5";"task-A";"/home/user/makbet/examples/01.dummy/tasks/generic-task.sh";"1";"2020-07-07 10:31:08";"TERMINATED";"1594110668";
"task-C";"task-B2 task-B3";"/home/user/makbet/examples/01.dummy/tasks/generic-task.sh";"1";"2020-07-07 10:31:10";"STARTED";"1594110670";
"task-C";"task-B2 task-B3";"/home/user/makbet/examples/01.dummy/tasks/generic-task.sh";"1";"2020-07-07 10:31:11";"TERMINATED";"1594110671";
"task-D";"task-C";"/home/user/makbet/examples/01.dummy/tasks/generic-task.sh";"1";"2020-07-07 10:31:11";"STARTED";"1594110671";
"task-D";"task-C";"/home/user/makbet/examples/01.dummy/tasks/generic-task.sh";"1";"2020-07-07 10:31:12";"TERMINATED";"1594110673";
"task-E";"task-B1 task-B4 task-B5 task-D";"/home/user/makbet/examples/01.dummy/tasks/generic-task.sh";"1";"2020-07-07 10:31:13";"STARTED";"1594110673";
"task-E";"task-B1 task-B4 task-B5 task-D";"/home/user/makbet/examples/01.dummy/tasks/generic-task.sh";"1";"2020-07-07 10:31:14";"TERMINATED";"1594110674";
"task-F";"task-E";"";"";"2020-07-07 10:31:14";"STARTED";"1594110674";
"task-F";"task-E";"";"";"2020-07-07 10:31:14";"TERMINATED";"1594110674";
