TASK_NAME;TASK_DEPS;TASK_CMD;TASK_CMD_PARAMS;TASK_DATE_TIME;TASK_EVENT_TYPE;TASK_[STARTED|TERMINATED]_EPOCH;
"all";"print-all-versions";"";"";"2020-07-07 12:10:10";"STARTED";"1594116610";
"all";"print-all-versions";"";"";"2020-07-07 12:10:10";"TERMINATED";"1594116610";
"build-all";"build-doxygen build-git build-kcov build-make build-python";"";"";"2020-07-07 12:10:09";"STARTED";"1594116609";
"build-all";"build-doxygen build-git build-kcov build-make build-python";"";"";"2020-07-07 12:10:09";"TERMINATED";"1594116609";
"build-doxygen";"check-all-src-dirs";"/home/user/makbet/examples/lib/tasks/02.toolchain/common/build-doxygen.sh";"/tmp/makbet/examples/02.toolchain-basic/doxygen/doxygen-Release_1_8_18/";"2020-07-07 12:07:11";"STARTED";"1594116431";
"build-doxygen";"check-all-src-dirs";"/home/user/makbet/examples/lib/tasks/02.toolchain/common/build-doxygen.sh";"/tmp/makbet/examples/02.toolchain-basic/doxygen/doxygen-Release_1_8_18/";"2020-07-07 12:07:56";"TERMINATED";"1594116476";
"build-git";"build-doxygen";"/home/user/makbet/examples/lib/tasks/02.toolchain/common/build-git.sh";"/tmp/makbet/examples/02.toolchain-basic/git/git-2.27.0/";"2020-07-07 12:07:56";"STARTED";"1594116476";
"build-git";"build-doxygen";"/home/user/makbet/examples/lib/tasks/02.toolchain/common/build-git.sh";"/tmp/makbet/examples/02.toolchain-basic/git/git-2.27.0/";"2020-07-07 12:08:34";"TERMINATED";"1594116514";
"build-kcov";"build-git";"/home/user/makbet/examples/lib/tasks/02.toolchain/common/build-kcov.sh";"/tmp/makbet/examples/02.toolchain-basic/kcov/kcov-38/";"2020-07-07 12:08:34";"STARTED";"1594116514";
"build-kcov";"build-git";"/home/user/makbet/examples/lib/tasks/02.toolchain/common/build-kcov.sh";"/tmp/makbet/examples/02.toolchain-basic/kcov/kcov-38/";"2020-07-07 12:08:49";"TERMINATED";"1594116529";
"build-make";"build-kcov";"/home/user/makbet/examples/lib/tasks/02.toolchain/common/build-make.sh";"/tmp/makbet/examples/02.toolchain-basic/make/make-4.3/";"2020-07-07 12:08:49";"STARTED";"1594116529";
"build-make";"build-kcov";"/home/user/makbet/examples/lib/tasks/02.toolchain/common/build-make.sh";"/tmp/makbet/examples/02.toolchain-basic/make/make-4.3/";"2020-07-07 12:09:01";"TERMINATED";"1594116541";
"build-python";"build-make";"/home/user/makbet/examples/lib/tasks/02.toolchain/common/build-python.sh";"/tmp/makbet/examples/02.toolchain-basic/python/Python-3.9.0b4/";"2020-07-07 12:09:01";"STARTED";"1594116541";
"build-python";"build-make";"/home/user/makbet/examples/lib/tasks/02.toolchain/common/build-python.sh";"/tmp/makbet/examples/02.toolchain-basic/python/Python-3.9.0b4/";"2020-07-07 12:10:08";"TERMINATED";"1594116608";
"check-all-src-dirs";"unpack-doxygen-src unpack-git-src unpack-kcov-src unpack-make-src unpack-python-src";"/home/user/makbet/lib/tasks/common/check-dirs.sh";"/tmp/makbet/examples/02.toolchain-basic/doxygen/doxygen-Release_1_8_18/ /tmp/makbet/examples/02.toolchain-basic/git/git-2.27.0/ /tmp/makbet/examples/02.toolchain-basic/kcov/kcov-38/ /tmp/makbet/examples/02.toolchain-basic/make/make-4.3/ /tmp/makbet/examples/02.toolchain-basic/python/Python-3.9.0b4/";"2020-07-07 12:07:11";"STARTED";"1594116431";
"check-all-src-dirs";"unpack-doxygen-src unpack-git-src unpack-kcov-src unpack-make-src unpack-python-src";"/home/user/makbet/lib/tasks/common/check-dirs.sh";"/tmp/makbet/examples/02.toolchain-basic/doxygen/doxygen-Release_1_8_18/ /tmp/makbet/examples/02.toolchain-basic/git/git-2.27.0/ /tmp/makbet/examples/02.toolchain-basic/kcov/kcov-38/ /tmp/makbet/examples/02.toolchain-basic/make/make-4.3/ /tmp/makbet/examples/02.toolchain-basic/python/Python-3.9.0b4/";"2020-07-07 12:07:11";"TERMINATED";"1594116431";
"fetch-doxygen-src";"prepare-workdir-structure";"/home/user/makbet/lib/tasks/common/download-file.sh";"https://github.com/doxygen/doxygen/archive/Release_1_8_18.zip /tmp/makbet/examples/02.toolchain-basic/doxygen/Release_1_8_18.zip";"2020-07-07 12:06:44";"STARTED";"1594116404";
"fetch-doxygen-src";"prepare-workdir-structure";"/home/user/makbet/lib/tasks/common/download-file.sh";"https://github.com/doxygen/doxygen/archive/Release_1_8_18.zip /tmp/makbet/examples/02.toolchain-basic/doxygen/Release_1_8_18.zip";"2020-07-07 12:06:48";"TERMINATED";"1594116408";
"fetch-git-src";"prepare-workdir-structure";"/home/user/makbet/lib/tasks/common/download-file.sh";"https://github.com/git/git/archive/v2.27.0.zip /tmp/makbet/examples/02.toolchain-basic/git/v2.27.0.zip";"2020-07-07 12:06:49";"STARTED";"1594116409";
"fetch-git-src";"prepare-workdir-structure";"/home/user/makbet/lib/tasks/common/download-file.sh";"https://github.com/git/git/archive/v2.27.0.zip /tmp/makbet/examples/02.toolchain-basic/git/v2.27.0.zip";"2020-07-07 12:06:56";"TERMINATED";"1594116416";
"fetch-kcov-src";"prepare-workdir-structure";"/home/user/makbet/lib/tasks/common/download-file.sh";"https://github.com/SimonKagstrom/kcov/archive/38.zip /tmp/makbet/examples/02.toolchain-basic/kcov/38.zip";"2020-07-07 12:06:56";"STARTED";"1594116416";
"fetch-kcov-src";"prepare-workdir-structure";"/home/user/makbet/lib/tasks/common/download-file.sh";"https://github.com/SimonKagstrom/kcov/archive/38.zip /tmp/makbet/examples/02.toolchain-basic/kcov/38.zip";"2020-07-07 12:06:58";"TERMINATED";"1594116418";
"fetch-make-src";"prepare-workdir-structure";"/home/user/makbet/lib/tasks/common/download-file.sh";"http://ftp.gnu.org/gnu/make/make-4.3.tar.gz /tmp/makbet/examples/02.toolchain-basic/make/make-4.3.tar.gz";"2020-07-07 12:06:58";"STARTED";"1594116418";
"fetch-make-src";"prepare-workdir-structure";"/home/user/makbet/lib/tasks/common/download-file.sh";"http://ftp.gnu.org/gnu/make/make-4.3.tar.gz /tmp/makbet/examples/02.toolchain-basic/make/make-4.3.tar.gz";"2020-07-07 12:07:00";"TERMINATED";"1594116420";
"fetch-python-src";"prepare-workdir-structure";"/home/user/makbet/lib/tasks/common/download-file.sh";"https://www.python.org/ftp/python/3.9.0/Python-3.9.0b4.tar.xz /tmp/makbet/examples/02.toolchain-basic/python/Python-3.9.0b4.tar.xz";"2020-07-07 12:07:00";"STARTED";"1594116420";
"fetch-python-src";"prepare-workdir-structure";"/home/user/makbet/lib/tasks/common/download-file.sh";"https://www.python.org/ftp/python/3.9.0/Python-3.9.0b4.tar.xz /tmp/makbet/examples/02.toolchain-basic/python/Python-3.9.0b4.tar.xz";"2020-07-07 12:07:09";"TERMINATED";"1594116429";
"INIT";"";"";"";"2020-07-07 12:06:44";"STARTED";"1594116404";
"INIT";"";"";"";"2020-07-07 12:06:44";"TERMINATED";"1594116404";
"prepare-workdir-structure";"INIT";"/home/user/makbet/lib/tasks/common/create-dir-structure.sh";"/tmp/makbet/examples/02.toolchain-basic/doxygen /tmp/makbet/examples/02.toolchain-basic/git /tmp/makbet/examples/02.toolchain-basic/kcov /tmp/makbet/examples/02.toolchain-basic/make /tmp/makbet/examples/02.toolchain-basic/python";"2020-07-07 12:06:44";"STARTED";"1594116404";
"prepare-workdir-structure";"INIT";"/home/user/makbet/lib/tasks/common/create-dir-structure.sh";"/tmp/makbet/examples/02.toolchain-basic/doxygen /tmp/makbet/examples/02.toolchain-basic/git /tmp/makbet/examples/02.toolchain-basic/kcov /tmp/makbet/examples/02.toolchain-basic/make /tmp/makbet/examples/02.toolchain-basic/python";"2020-07-07 12:06:44";"TERMINATED";"1594116404";
"print-all-versions";"build-all print-doxygen-version print-git-version print-kcov-version print-make-version print-python-version";"";"";"2020-07-07 12:10:09";"STARTED";"1594116609";
"print-all-versions";"build-all print-doxygen-version print-git-version print-kcov-version print-make-version print-python-version";"";"";"2020-07-07 12:10:09";"TERMINATED";"1594116609";
"print-doxygen-version";"build-doxygen";"/home/user/makbet/lib/tasks/common/exec-cmd.sh";"/tmp/makbet/examples/02.toolchain-basic/doxygen/doxygen-Release_1_8_18/build/bin/doxygen --version";"2020-07-07 12:10:09";"STARTED";"1594116609";
"print-doxygen-version";"build-doxygen";"/home/user/makbet/lib/tasks/common/exec-cmd.sh";"/tmp/makbet/examples/02.toolchain-basic/doxygen/doxygen-Release_1_8_18/build/bin/doxygen --version";"2020-07-07 12:10:09";"TERMINATED";"1594116609";
"print-git-version";"build-git";"/home/user/makbet/lib/tasks/common/exec-cmd.sh";"/tmp/makbet/examples/02.toolchain-basic/git/git-2.27.0/git --version";"2020-07-07 12:10:09";"STARTED";"1594116609";
"print-git-version";"build-git";"/home/user/makbet/lib/tasks/common/exec-cmd.sh";"/tmp/makbet/examples/02.toolchain-basic/git/git-2.27.0/git --version";"2020-07-07 12:10:09";"TERMINATED";"1594116609";
"print-kcov-version";"build-kcov";"/home/user/makbet/lib/tasks/common/exec-cmd.sh";"/tmp/makbet/examples/02.toolchain-basic/kcov/kcov-38/build/src/kcov --version";"2020-07-07 12:10:09";"STARTED";"1594116609";
"print-kcov-version";"build-kcov";"/home/user/makbet/lib/tasks/common/exec-cmd.sh";"/tmp/makbet/examples/02.toolchain-basic/kcov/kcov-38/build/src/kcov --version";"2020-07-07 12:10:09";"TERMINATED";"1594116609";
"print-make-version";"build-make";"/home/user/makbet/lib/tasks/common/exec-cmd.sh";"/tmp/makbet/examples/02.toolchain-basic/make/make-4.3/make --version";"2020-07-07 12:10:09";"STARTED";"1594116609";
"print-make-version";"build-make";"/home/user/makbet/lib/tasks/common/exec-cmd.sh";"/tmp/makbet/examples/02.toolchain-basic/make/make-4.3/make --version";"2020-07-07 12:10:09";"TERMINATED";"1594116609";
"print-python-version";"build-python";"/home/user/makbet/lib/tasks/common/exec-cmd.sh";"/tmp/makbet/examples/02.toolchain-basic/python/Python-3.9.0b4/python -V";"2020-07-07 12:10:09";"STARTED";"1594116609";
"print-python-version";"build-python";"/home/user/makbet/lib/tasks/common/exec-cmd.sh";"/tmp/makbet/examples/02.toolchain-basic/python/Python-3.9.0b4/python -V";"2020-07-07 12:10:09";"TERMINATED";"1594116609";
"unpack-doxygen-src";"fetch-doxygen-src";"/home/user/makbet/lib/tasks/common/uncompress-zip-file.sh";"/tmp/makbet/examples/02.toolchain-basic/doxygen/Release_1_8_18.zip /tmp/makbet/examples/02.toolchain-basic/doxygen/";"2020-07-07 12:06:48";"STARTED";"1594116408";
"unpack-doxygen-src";"fetch-doxygen-src";"/home/user/makbet/lib/tasks/common/uncompress-zip-file.sh";"/tmp/makbet/examples/02.toolchain-basic/doxygen/Release_1_8_18.zip /tmp/makbet/examples/02.toolchain-basic/doxygen/";"2020-07-07 12:06:49";"TERMINATED";"1594116409";
"unpack-git-src";"fetch-git-src";"/home/user/makbet/lib/tasks/common/uncompress-zip-file.sh";"/tmp/makbet/examples/02.toolchain-basic/git/v2.27.0.zip /tmp/makbet/examples/02.toolchain-basic/git/";"2020-07-07 12:06:56";"STARTED";"1594116416";
"unpack-git-src";"fetch-git-src";"/home/user/makbet/lib/tasks/common/uncompress-zip-file.sh";"/tmp/makbet/examples/02.toolchain-basic/git/v2.27.0.zip /tmp/makbet/examples/02.toolchain-basic/git/";"2020-07-07 12:06:56";"TERMINATED";"1594116416";
"unpack-kcov-src";"fetch-kcov-src";"/home/user/makbet/lib/tasks/common/uncompress-zip-file.sh";"/tmp/makbet/examples/02.toolchain-basic/kcov/38.zip /tmp/makbet/examples/02.toolchain-basic/kcov/";"2020-07-07 12:06:58";"STARTED";"1594116418";
"unpack-kcov-src";"fetch-kcov-src";"/home/user/makbet/lib/tasks/common/uncompress-zip-file.sh";"/tmp/makbet/examples/02.toolchain-basic/kcov/38.zip /tmp/makbet/examples/02.toolchain-basic/kcov/";"2020-07-07 12:06:58";"TERMINATED";"1594116418";
"unpack-make-src";"fetch-make-src";"/home/user/makbet/lib/tasks/common/uncompress-tgz-file.sh";"/tmp/makbet/examples/02.toolchain-basic/make/make-4.3.tar.gz /tmp/makbet/examples/02.toolchain-basic/make/";"2020-07-07 12:07:00";"STARTED";"1594116420";
"unpack-make-src";"fetch-make-src";"/home/user/makbet/lib/tasks/common/uncompress-tgz-file.sh";"/tmp/makbet/examples/02.toolchain-basic/make/make-4.3.tar.gz /tmp/makbet/examples/02.toolchain-basic/make/";"2020-07-07 12:07:00";"TERMINATED";"1594116420";
"unpack-python-src";"fetch-python-src";"/home/user/makbet/lib/tasks/common/uncompress-txz-file.sh";"/tmp/makbet/examples/02.toolchain-basic/python/Python-3.9.0b4.tar.xz /tmp/makbet/examples/02.toolchain-basic/python/";"2020-07-07 12:07:09";"STARTED";"1594116429";
"unpack-python-src";"fetch-python-src";"/home/user/makbet/lib/tasks/common/uncompress-txz-file.sh";"/tmp/makbet/examples/02.toolchain-basic/python/Python-3.9.0b4.tar.xz /tmp/makbet/examples/02.toolchain-basic/python/";"2020-07-07 12:07:11";"TERMINATED";"1594116431";
