TASK_NAME;TASK_DEPS;TASK_CMD;TASK_CMD_PARAMS;TASK_DATE_TIME;TASK_EVENT_TYPE;TASK_[STARTED|TERMINATED]_EPOCH;
"build-all";"build-doxygen build-git build-kcov build-make build-python";"";"";"2020-07-07 12:20:40";"STARTED";"1594117240";
"build-all";"build-doxygen build-git build-kcov build-make build-python";"";"";"2020-07-07 12:20:40";"TERMINATED";"1594117240";
"build-doxygen";"check-all-src-dirs";"/home/user/makbet/examples/lib/tasks/02.toolchain/common/build-doxygen.sh";"/tmp/makbet/examples/02.toolchain-complex/doxygen/doxygen-Release_1_8_18/";"2020-07-07 12:17:43";"STARTED";"1594117063";
"build-doxygen";"check-all-src-dirs";"/home/user/makbet/examples/lib/tasks/02.toolchain/common/build-doxygen.sh";"/tmp/makbet/examples/02.toolchain-complex/doxygen/doxygen-Release_1_8_18/";"2020-07-07 12:18:28";"TERMINATED";"1594117108";
"build-git";"build-doxygen";"/home/user/makbet/examples/lib/tasks/02.toolchain/common/build-git.sh";"/tmp/makbet/examples/02.toolchain-complex/git/git-2.27.0/";"2020-07-07 12:18:28";"STARTED";"1594117108";
"build-git";"build-doxygen";"/home/user/makbet/examples/lib/tasks/02.toolchain/common/build-git.sh";"/tmp/makbet/examples/02.toolchain-complex/git/git-2.27.0/";"2020-07-07 12:19:05";"TERMINATED";"1594117145";
"build-kcov";"build-git";"/home/user/makbet/examples/lib/tasks/02.toolchain/common/build-kcov.sh";"/tmp/makbet/examples/02.toolchain-complex/kcov/kcov-38/";"2020-07-07 12:19:05";"STARTED";"1594117145";
"build-kcov";"build-git";"/home/user/makbet/examples/lib/tasks/02.toolchain/common/build-kcov.sh";"/tmp/makbet/examples/02.toolchain-complex/kcov/kcov-38/";"2020-07-07 12:19:21";"TERMINATED";"1594117161";
"build-make";"build-kcov";"/home/user/makbet/examples/lib/tasks/02.toolchain/common/build-make.sh";"/tmp/makbet/examples/02.toolchain-complex/make/make-4.3/";"2020-07-07 12:19:21";"STARTED";"1594117161";
"build-make";"build-kcov";"/home/user/makbet/examples/lib/tasks/02.toolchain/common/build-make.sh";"/tmp/makbet/examples/02.toolchain-complex/make/make-4.3/";"2020-07-07 12:19:32";"TERMINATED";"1594117172";
"build-python";"build-make";"/home/user/makbet/examples/lib/tasks/02.toolchain/common/build-python.sh";"/tmp/makbet/examples/02.toolchain-complex/python/Python-3.9.0b4/";"2020-07-07 12:19:32";"STARTED";"1594117173";
"build-python";"build-make";"/home/user/makbet/examples/lib/tasks/02.toolchain/common/build-python.sh";"/tmp/makbet/examples/02.toolchain-complex/python/Python-3.9.0b4/";"2020-07-07 12:20:40";"TERMINATED";"1594117240";
"check-all-src-dirs";"unpack-doxygen-src unpack-git-src unpack-kcov-src unpack-make-src unpack-python-src";"/home/user/makbet/lib/tasks/common/check-dirs.sh";"/tmp/makbet/examples/02.toolchain-complex/doxygen/doxygen-Release_1_8_18/ /tmp/makbet/examples/02.toolchain-complex/git/git-2.27.0/ /tmp/makbet/examples/02.toolchain-complex/kcov/kcov-38/ /tmp/makbet/examples/02.toolchain-complex/make/make-4.3/ /tmp/makbet/examples/02.toolchain-complex/python/Python-3.9.0b4/";"2020-07-07 12:17:43";"STARTED";"1594117063";
