TASK_ID;TASK_NAME;TASK_DEPS;TASK_CMD;TASK_CMD_OPTS;TASK_EVENT_TYPE;TASK_DATE_TIME_[STARTED|TERMINATED];
"1";"@01-INIT";"";"";"";"STARTED";"2020-09-01 00:22:02.323971957";
"1";"@01-INIT";"";"";"";"TERMINATED";"2020-09-01 00:22:02.341418782";
"10";"unpack-git-src";"fetch-git-src";"/home/user/makbet/examples/lib/tasks/common/uncompress-zip-file";"/tmp/makbet/examples/02.toolchain-simple/git/v2.29.2.zip /tmp/makbet/examples/02.toolchain-simple/git/";"STARTED";"2020-09-01 00:22:12.944464773";
"10";"unpack-git-src";"fetch-git-src";"/home/user/makbet/examples/lib/tasks/common/uncompress-zip-file";"/tmp/makbet/examples/02.toolchain-simple/git/v2.29.2.zip /tmp/makbet/examples/02.toolchain-simple/git/";"TERMINATED";"2020-09-01 00:22:13.345008200";
"11";"unpack-kcov-src";"fetch-kcov-src";"/home/user/makbet/examples/lib/tasks/common/uncompress-zip-file";"/tmp/makbet/examples/02.toolchain-simple/kcov/38.zip /tmp/makbet/examples/02.toolchain-simple/kcov/";"STARTED";"2020-09-01 00:22:14.628457830";
"11";"unpack-kcov-src";"fetch-kcov-src";"/home/user/makbet/examples/lib/tasks/common/uncompress-zip-file";"/tmp/makbet/examples/02.toolchain-simple/kcov/38.zip /tmp/makbet/examples/02.toolchain-simple/kcov/";"TERMINATED";"2020-09-01 00:22:14.677801176";
"12";"unpack-make-src";"fetch-make-src";"/home/user/makbet/examples/lib/tasks/common/uncompress-tgz-file";"/tmp/makbet/examples/02.toolchain-simple/make/make-4.3.tar.gz /tmp/makbet/examples/02.toolchain-simple/make/";"STARTED";"2020-09-01 00:22:17.251131854";
"12";"unpack-make-src";"fetch-make-src";"/home/user/makbet/examples/lib/tasks/common/uncompress-tgz-file";"/tmp/makbet/examples/02.toolchain-simple/make/make-4.3.tar.gz /tmp/makbet/examples/02.toolchain-simple/make/";"TERMINATED";"2020-09-01 00:22:17.333616913";
"13";"unpack-python-src";"fetch-python-src";"/home/user/makbet/examples/lib/tasks/common/uncompress-txz-file";"/tmp/makbet/examples/02.toolchain-simple/python/Python-3.9.1.tar.xz /tmp/makbet/examples/02.toolchain-simple/python/";"STARTED";"2020-09-01 00:22:27.463486416";
"13";"unpack-python-src";"fetch-python-src";"/home/user/makbet/examples/lib/tasks/common/uncompress-txz-file";"/tmp/makbet/examples/02.toolchain-simple/python/Python-3.9.1.tar.xz /tmp/makbet/examples/02.toolchain-simple/python/";"TERMINATED";"2020-09-01 00:22:28.979465311";
"14";"check-all-src-dirs";"unpack-doxygen-src unpack-git-src unpack-kcov-src unpack-make-src unpack-python-src";"/home/user/makbet/examples/lib/tasks/common/check-dirs";"/tmp/makbet/examples/02.toolchain-simple/doxygen/doxygen-Release_1_9_0/ /tmp/makbet/examples/02.toolchain-simple/git/git-2.29.2/ /tmp/makbet/examples/02.toolchain-simple/kcov/kcov-38/ /tmp/makbet/examples/02.toolchain-simple/make/make-4.3/ /tmp/makbet/examples/02.toolchain-simple/python/Python-3.9.1/";"STARTED";"2020-09-01 00:22:29.079805746";
"14";"check-all-src-dirs";"unpack-doxygen-src unpack-git-src unpack-kcov-src unpack-make-src unpack-python-src";"/home/user/makbet/examples/lib/tasks/common/check-dirs";"/tmp/makbet/examples/02.toolchain-simple/doxygen/doxygen-Release_1_9_0/ /tmp/makbet/examples/02.toolchain-simple/git/git-2.29.2/ /tmp/makbet/examples/02.toolchain-simple/kcov/kcov-38/ /tmp/makbet/examples/02.toolchain-simple/make/make-4.3/ /tmp/makbet/examples/02.toolchain-simple/python/Python-3.9.1/";"TERMINATED";"2020-09-01 00:22:29.102905168";
"15";"build-doxygen";"check-all-src-dirs";"/home/user/makbet/examples/lib/tasks/build-scripts/build-doxygen";"/tmp/makbet/examples/02.toolchain-simple/doxygen/doxygen-Release_1_9_0/";"STARTED";"2020-09-01 00:22:29.208313070";
"15";"build-doxygen";"check-all-src-dirs";"/home/user/makbet/examples/lib/tasks/build-scripts/build-doxygen";"/tmp/makbet/examples/02.toolchain-simple/doxygen/doxygen-Release_1_9_0/";"TERMINATED";"2020-09-01 00:23:30.149406336";
"16";"build-git";"build-doxygen";"/home/user/makbet/examples/lib/tasks/build-scripts/build-git";"/tmp/makbet/examples/02.toolchain-simple/git/git-2.29.2/";"STARTED";"2020-09-01 00:23:30.257653005";
"16";"build-git";"build-doxygen";"/home/user/makbet/examples/lib/tasks/build-scripts/build-git";"/tmp/makbet/examples/02.toolchain-simple/git/git-2.29.2/";"TERMINATED";"2020-09-01 00:24:30.839037757";
"17";"build-kcov";"build-git";"/home/user/makbet/examples/lib/tasks/build-scripts/build-kcov";"/tmp/makbet/examples/02.toolchain-simple/kcov/kcov-38/";"STARTED";"2020-09-01 00:24:30.953022733";
"17";"build-kcov";"build-git";"/home/user/makbet/examples/lib/tasks/build-scripts/build-kcov";"/tmp/makbet/examples/02.toolchain-simple/kcov/kcov-38/";"TERMINATED";"2020-09-01 00:24:50.364533240";
"18";"build-make";"build-kcov";"/home/user/makbet/examples/lib/tasks/build-scripts/build-make";"/tmp/makbet/examples/02.toolchain-simple/make/make-4.3/";"STARTED";"2020-09-01 00:24:50.473755827";
"18";"build-make";"build-kcov";"/home/user/makbet/examples/lib/tasks/build-scripts/build-make";"/tmp/makbet/examples/02.toolchain-simple/make/make-4.3/";"TERMINATED";"2020-09-01 00:25:03.576300813";
"19";"build-python";"build-make";"/home/user/makbet/examples/lib/tasks/build-scripts/build-python";"/tmp/makbet/examples/02.toolchain-simple/python/Python-3.9.1/";"STARTED";"2020-09-01 00:25:03.691053816";
"19";"build-python";"build-make";"/home/user/makbet/examples/lib/tasks/build-scripts/build-python";"/tmp/makbet/examples/02.toolchain-simple/python/Python-3.9.1/";"TERMINATED";"2020-09-01 00:26:24.097404120";
"21";"print-doxygen-version";"build-doxygen";"/home/user/makbet/examples/lib/tasks/common/exec-cmd";"/tmp/makbet/examples/02.toolchain-simple/doxygen/doxygen-Release_1_9_0/build/bin/doxygen --version";"STARTED";"2020-09-01 00:26:24.340133478";
"21";"print-doxygen-version";"build-doxygen";"/home/user/makbet/examples/lib/tasks/common/exec-cmd";"/tmp/makbet/examples/02.toolchain-simple/doxygen/doxygen-Release_1_9_0/build/bin/doxygen --version";"TERMINATED";"2020-09-01 00:26:24.367181050";
"22";"print-git-version";"build-git";"/home/user/makbet/examples/lib/tasks/common/exec-cmd";"/tmp/makbet/examples/02.toolchain-simple/git/git-2.29.2/git --version";"STARTED";"2020-09-01 00:26:24.479654773";
"22";"print-git-version";"build-git";"/home/user/makbet/examples/lib/tasks/common/exec-cmd";"/tmp/makbet/examples/02.toolchain-simple/git/git-2.29.2/git --version";"TERMINATED";"2020-09-01 00:26:24.505658249";
"23";"print-kcov-version";"build-kcov";"/home/user/makbet/examples/lib/tasks/common/exec-cmd";"/tmp/makbet/examples/02.toolchain-simple/kcov/kcov-38/build/src/kcov --version";"STARTED";"2020-09-01 00:26:24.619213059";
"23";"print-kcov-version";"build-kcov";"/home/user/makbet/examples/lib/tasks/common/exec-cmd";"/tmp/makbet/examples/02.toolchain-simple/kcov/kcov-38/build/src/kcov --version";"TERMINATED";"2020-09-01 00:26:24.651989685";
"24";"print-make-version";"build-make";"/home/user/makbet/examples/lib/tasks/common/exec-cmd";"/tmp/makbet/examples/02.toolchain-simple/make/make-4.3/make --version";"STARTED";"2020-09-01 00:26:24.766878717";
"24";"print-make-version";"build-make";"/home/user/makbet/examples/lib/tasks/common/exec-cmd";"/tmp/makbet/examples/02.toolchain-simple/make/make-4.3/make --version";"TERMINATED";"2020-09-01 00:26:24.793914967";
"25";"print-python-version";"build-python";"/home/user/makbet/examples/lib/tasks/common/exec-cmd";"/tmp/makbet/examples/02.toolchain-simple/python/Python-3.9.1/python -V";"STARTED";"2020-09-01 00:26:24.905835410";
"25";"print-python-version";"build-python";"/home/user/makbet/examples/lib/tasks/common/exec-cmd";"/tmp/makbet/examples/02.toolchain-simple/python/Python-3.9.1/python -V";"TERMINATED";"2020-09-01 00:26:24.932598457";
"26";"build-all";"build-doxygen build-git build-kcov build-make build-python";"";"";"STARTED";"2020-09-01 00:26:24.212100178";
"26";"build-all";"build-doxygen build-git build-kcov build-make build-python";"";"";"TERMINATED";"2020-09-01 00:26:24.230137475";
"27";"print-all-versions";"build-all print-doxygen-version print-git-version print-kcov-version print-make-version print-python-version";"";"";"STARTED";"2020-09-01 00:26:25.041919142";
"27";"print-all-versions";"build-all print-doxygen-version print-git-version print-kcov-version print-make-version print-python-version";"";"";"TERMINATED";"2020-09-01 00:26:25.062320829";
"28";"all";"print-all-versions";"";"";"STARTED";"2020-09-01 00:26:25.170060318";
"28";"all";"print-all-versions";"";"";"TERMINATED";"2020-09-01 00:26:25.188530229";
"3";"prepare-workdir-structure";"@01-INIT";"/home/user/makbet/examples/lib/tasks/common/create-dir-structure";"/tmp/makbet/examples/02.toolchain-simple/doxygen /tmp/makbet/examples/02.toolchain-simple/git /tmp/makbet/examples/02.toolchain-simple/kcov /tmp/makbet/examples/02.toolchain-simple/make /tmp/makbet/examples/02.toolchain-simple/python";"STARTED";"2020-09-01 00:22:02.431589543";
"3";"prepare-workdir-structure";"@01-INIT";"/home/user/makbet/examples/lib/tasks/common/create-dir-structure";"/tmp/makbet/examples/02.toolchain-simple/doxygen /tmp/makbet/examples/02.toolchain-simple/git /tmp/makbet/examples/02.toolchain-simple/kcov /tmp/makbet/examples/02.toolchain-simple/make /tmp/makbet/examples/02.toolchain-simple/python";"TERMINATED";"2020-09-01 00:22:02.452741504";
"4";"fetch-doxygen-src";"prepare-workdir-structure";"/home/user/makbet/examples/lib/tasks/common/download-file";"https://github.com/doxygen/doxygen/archive/Release_1_9_0.zip /tmp/makbet/examples/02.toolchain-simple/doxygen/Release_1_9_0.zip";"STARTED";"2020-09-01 00:22:02.542439407";
"4";"fetch-doxygen-src";"prepare-workdir-structure";"/home/user/makbet/examples/lib/tasks/common/download-file";"https://github.com/doxygen/doxygen/archive/Release_1_9_0.zip /tmp/makbet/examples/02.toolchain-simple/doxygen/Release_1_9_0.zip";"TERMINATED";"2020-09-01 00:22:06.044786636";
"5";"fetch-git-src";"prepare-workdir-structure";"/home/user/makbet/examples/lib/tasks/common/download-file";"https://github.com/git/git/archive/v2.29.2.zip /tmp/makbet/examples/02.toolchain-simple/git/v2.29.2.zip";"STARTED";"2020-09-01 00:22:06.449840839";
"5";"fetch-git-src";"prepare-workdir-structure";"/home/user/makbet/examples/lib/tasks/common/download-file";"https://github.com/git/git/archive/v2.29.2.zip /tmp/makbet/examples/02.toolchain-simple/git/v2.29.2.zip";"TERMINATED";"2020-09-01 00:22:12.842988843";
"6";"fetch-kcov-src";"prepare-workdir-structure";"/home/user/makbet/examples/lib/tasks/common/download-file";"https://github.com/SimonKagstrom/kcov/archive/38.zip /tmp/makbet/examples/02.toolchain-simple/kcov/38.zip";"STARTED";"2020-09-01 00:22:13.441609428";
"6";"fetch-kcov-src";"prepare-workdir-structure";"/home/user/makbet/examples/lib/tasks/common/download-file";"https://github.com/SimonKagstrom/kcov/archive/38.zip /tmp/makbet/examples/02.toolchain-simple/kcov/38.zip";"TERMINATED";"2020-09-01 00:22:14.518253860";
"7";"fetch-make-src";"prepare-workdir-structure";"/home/user/makbet/examples/lib/tasks/common/download-file";"http://ftp.gnu.org/gnu/make/make-4.3.tar.gz /tmp/makbet/examples/02.toolchain-simple/make/make-4.3.tar.gz";"STARTED";"2020-09-01 00:22:14.788379681";
"7";"fetch-make-src";"prepare-workdir-structure";"/home/user/makbet/examples/lib/tasks/common/download-file";"http://ftp.gnu.org/gnu/make/make-4.3.tar.gz /tmp/makbet/examples/02.toolchain-simple/make/make-4.3.tar.gz";"TERMINATED";"2020-09-01 00:22:17.149637722";
"8";"fetch-python-src";"prepare-workdir-structure";"/home/user/makbet/examples/lib/tasks/common/download-file";"https://www.python.org/ftp/python/3.9.1/Python-3.9.1.tar.xz /tmp/makbet/examples/02.toolchain-simple/python/Python-3.9.1.tar.xz";"STARTED";"2020-09-01 00:22:17.432201444";
"8";"fetch-python-src";"prepare-workdir-structure";"/home/user/makbet/examples/lib/tasks/common/download-file";"https://www.python.org/ftp/python/3.9.1/Python-3.9.1.tar.xz /tmp/makbet/examples/02.toolchain-simple/python/Python-3.9.1.tar.xz";"TERMINATED";"2020-09-01 00:22:27.345055418";
"9";"unpack-doxygen-src";"fetch-doxygen-src";"/home/user/makbet/examples/lib/tasks/common/uncompress-zip-file";"/tmp/makbet/examples/02.toolchain-simple/doxygen/Release_1_9_0.zip /tmp/makbet/examples/02.toolchain-simple/doxygen/";"STARTED";"2020-09-01 00:22:06.165108682";
"9";"unpack-doxygen-src";"fetch-doxygen-src";"/home/user/makbet/examples/lib/tasks/common/uncompress-zip-file";"/tmp/makbet/examples/02.toolchain-simple/doxygen/Release_1_9_0.zip /tmp/makbet/examples/02.toolchain-simple/doxygen/";"TERMINATED";"2020-09-01 00:22:06.350518586";
